ID,round,choice,reward
2,6,0,2
2,7,1,0
2,8,0,2
2,9,1,0
2,10,0,2
2,11,0,2
2,12,0,2
2,13,0,2
2,14,1,0
2,15,0,2
2,16,0,2
2,17,1,0
2,18,0,2
2,19,0,2
2,20,0,2
2,21,0,2
2,22,1,0
2,23,1,0
2,24,0,2
2,25,1,0
2,26,1,0
2,27,0,2
2,28,0,2
2,29,0,2
2,30,1,0
2,31,0,2
2,32,0,2
2,33,1,0
2,34,1,0
2,35,0,2
2,36,1,0
2,37,0,2
2,38,1,0
2,39,0,2
2,40,0,2
2,41,1,0
2,42,1,0
2,43,0,2
2,44,1,0
2,45,0,2
2,46,1,0
2,47,0,2
2,48,0,2
2,49,0,2
2,50,1,0
2,51,1,10
2,52,0,2
2,53,1,0
2,54,0,2
2,55,0,2
2,56,1,0
2,57,0,2
2,58,1,0
2,59,1,0
2,60,0,2
2,61,0,2
2,62,1,10
2,63,0,2
2,64,1,0
2,65,0,2
2,66,1,10
2,67,1,0
2,68,1,0
2,69,0,2
2,70,1,0
2,71,0,2
2,72,1,10
2,73,0,2
2,74,1,10
2,75,1,0
2,76,1,0
2,77,1,0
2,78,1,0
2,79,0,2
2,80,0,2
2,81,1,0
2,82,1,0
2,83,1,0
2,84,0,2
2,85,0,2
2,86,1,0
2,87,0,2
2,88,0,2
2,89,1,0
2,90,1,0
2,91,0,2
2,92,0,2
2,93,0,2
2,94,1,0
2,95,1,0
2,96,0,2
2,97,1,0
2,98,0,2
2,99,1,10
3,0,1,0
3,1,1,0
3,2,0,2
3,3,0,2
3,4,0,2
3,5,0,2
3,6,0,2
3,7,1,0
3,8,1,0
3,9,1,10
3,10,0,2
3,11,0,2
3,12,0,2
3,13,1,10
3,14,1,0
3,15,1,0
3,16,1,0
3,17,1,10
3,18,0,2
3,19,0,2
3,20,1,0
3,21,0,2
3,22,0,2
3,23,1,0
3,24,1,0
3,25,0,2
3,26,1,0
3,27,0,2
3,28,1,0
3,29,1,0
3,30,1,0
3,31,0,2
3,32,1,0
3,33,0,2
3,34,0,2
3,35,1,0
3,36,0,2
3,37,1,0
3,38,0,2
3,39,0,2
3,40,1,0
3,41,1,0
3,42,1,0
3,43,0,2
3,44,1,0
3,45,1,0
3,46,1,0
3,47,1,0
3,48,1,0
3,49,1,0
3,50,1,0
3,51,0,2
3,52,0,2
3,53,0,2
3,54,1,0
3,55,1,0
3,56,0,2
3,57,0,2
3,58,1,0
3,59,0,2
3,60,1,10
3,61,1,0
3,62,0,2
3,63,0,2
3,64,0,2
3,65,0,2
3,66,1,0
3,67,1,0
3,68,0,2
3,69,0,2
3,70,0,2
3,71,0,2
3,72,1,0
3,73,1,0
3,74,1,0
3,75,0,2
3,76,0,2
3,77,1,0
3,78,1,0
3,79,1,0
3,80,0,2
3,81,1,0
3,82,0,2
3,83,0,2
3,84,0,2
3,85,1,0
3,86,0,2
3,87,1,0
3,88,1,0
3,89,0,2
3,90,0,2
3,91,0,2
3,92,0,2
3,93,0,2
3,94,0,2
3,95,1,0
3,96,1,10
3,97,0,2
3,98,1,0
3,99,0,2
4,0,0,2
4,1,1,0
4,2,1,0
4,3,1,10
4,4,1,0
4,5,1,0
4,6,1,0
4,7,1,0
4,8,1,10
4,9,0,2
4,10,1,0
4,11,0,2
4,12,1,0
4,13,1,10
4,14,1,0
4,15,1,10
4,16,1,0
4,17,1,0
4,18,1,10
4,19,0,2
4,20,0,2
4,21,0,2
4,22,1,0
4,23,0,2
4,24,1,10
4,25,0,2
4,26,1,0
4,27,0,2
4,28,1,0
4,29,1,0
4,30,0,2
4,31,0,2
4,32,1,0
4,33,0,2
4,34,0,2
4,35,0,2
4,36,1,10
4,37,0,2
4,38,0,2
4,39,0,2
4,40,1,0
4,41,0,2
4,42,0,2
4,43,1,0
4,44,1,0
4,45,1,0
4,46,0,2
4,47,1,0
4,48,0,2
4,49,1,0
4,50,0,2
4,51,0,2
4,52,0,2
4,53,1,0
4,54,0,2
4,55,0,2
4,56,0,2
4,57,0,2
4,58,1,0
4,59,0,2
4,60,0,2
4,61,0,2
4,62,1,0
4,63,1,0
4,64,0,2
4,65,0,2
4,66,1,0
4,67,0,2
4,68,1,0
4,69,0,2
4,70,1,10
4,71,0,2
4,72,0,2
4,73,0,2
4,74,1,0
4,75,1,10
4,76,0,2
4,77,0,2
4,78,0,2
4,79,1,0
4,80,1,0
4,81,1,0
4,82,0,2
4,83,1,0
4,84,0,2
4,85,1,0
4,86,0,2
4,87,1,0
4,88,0,2
4,89,0,2
4,90,1,0
4,91,1,0
4,92,1,0
4,93,1,0
4,94,0,2
4,95,0,2
4,96,0,2
4,97,1,0
4,98,1,10
4,99,0,2
5,0,1,0
5,1,1,0
5,2,0,2
5,3,1,10
5,4,0,2
5,5,1,0
5,6,1,0
5,7,1,0
5,8,0,2
5,9,1,0
5,10,1,0
5,11,1,0
5,12,1,0
5,13,0,2
5,14,0,2
5,15,0,2
5,16,0,2
5,17,0,2
5,18,1,0
5,19,1,0
5,20,0,2
5,21,1,0
5,22,1,0
5,23,1,0
5,24,0,2
5,25,0,2
5,26,1,0
5,27,0,2
5,28,0,2
5,29,0,2
5,30,0,2
5,31,1,0
5,32,1,0
5,33,0,2
5,34,0,2
5,35,0,2
5,36,1,0
5,37,1,0
5,38,0,2
5,39,1,0
5,40,0,2
5,41,1,0
5,42,1,0
5,43,1,0
5,44,0,2
5,45,1,10
5,46,0,2
5,47,1,0
5,48,0,2
5,49,0,2
5,50,1,0
5,51,0,2
5,52,0,2
5,53,1,0
5,54,0,2
5,55,1,0
5,56,0,2
5,57,1,0
5,58,0,2
5,59,1,0
5,60,0,2
5,61,0,2
5,62,1,0
5,63,1,0
5,64,1,0
5,65,0,2
5,66,1,0
5,67,0,2
5,68,1,0
5,69,0,2
5,70,0,2
5,71,1,0
5,72,0,2
5,73,1,0
5,74,0,2
5,75,1,0
5,76,1,0
5,77,1,0
5,78,1,0
5,79,1,0
5,80,0,2
5,81,0,2
5,82,0,2
5,83,0,2
5,84,0,2
5,85,0,2
5,86,0,2
5,87,0,2
5,88,0,2
5,89,0,2
5,90,0,2
5,91,0,2
5,92,0,2
5,93,0,2
5,94,1,0
5,95,0,2
5,96,0,2
5,97,1,0
5,98,0,2
5,99,0,2
6,0,1,0
6,1,1,0
6,2,1,10
6,3,0,2
6,4,0,2
6,5,1,0
6,6,1,0
6,7,1,10
6,8,0,2
6,9,1,10
6,10,0,2
6,11,1,0
6,12,1,0
6,13,0,2
6,14,1,0
6,15,1,0
6,16,0,2
6,17,0,2
6,18,0,2
6,19,1,0
6,20,0,2
6,21,0,2
6,22,0,2
6,23,0,2
6,24,0,2
6,25,1,10
6,26,0,2
6,27,1,0
6,28,1,0
6,29,1,0
6,30,0,2
6,31,0,2
6,32,0,2
6,33,0,2
6,34,0,2
6,35,0,2
6,36,0,2
6,37,0,2
6,38,1,0
6,39,1,0
6,40,0,2
6,41,0,2
6,42,0,2
6,43,0,2
6,44,0,2
6,45,0,2
6,46,0,2
6,47,0,2
6,48,1,0
6,49,1,0
6,50,0,2
6,51,0,2
6,52,0,2
6,53,0,2
6,54,1,0
6,55,0,2
6,56,1,0
6,57,0,2
6,58,1,0
6,59,0,2
6,60,1,0
6,61,1,0
6,62,1,0
6,63,1,0
6,64,1,0
6,65,0,2
6,66,0,2
6,67,1,0
6,68,0,2
6,69,0,2
6,70,1,0
6,71,0,2
6,72,0,2
6,73,1,0
6,74,1,10
6,75,0,2
6,76,0,2
6,77,0,2
6,78,1,0
6,79,1,0
6,80,0,2
6,81,0,2
6,82,1,0
6,83,1,10
6,84,0,2
6,85,0,2
6,86,0,2
6,87,1,0
6,88,1,0
6,89,0,2
6,90,1,0
6,91,0,2
6,92,0,2
6,93,0,2
6,94,1,0
6,95,0,2
6,96,0,2
6,97,0,2
6,98,0,2
6,99,1,0
7,0,1,10
7,1,0,2
7,2,1,0
7,3,1,0
7,4,1,0
7,5,1,0
7,6,1,0
7,7,0,2
7,8,1,0
7,9,1,0
7,10,0,2
7,11,0,2
7,12,0,2
7,13,0,2
7,14,1,0
7,15,0,2
7,16,0,2
7,17,1,0
7,18,1,0
7,19,0,2
7,20,0,2
7,21,1,0
7,22,0,2
7,23,1,10
7,24,1,10
7,25,0,2
7,26,0,2
7,27,0,2
7,28,0,2
7,29,0,2
7,30,1,0
7,31,1,0
7,32,1,0
7,33,1,0
7,34,1,0
7,35,0,2
7,36,0,2
7,37,1,0
7,38,0,2
7,39,1,0
7,40,1,0
7,41,0,2
7,42,0,2
7,43,0,2
7,44,0,2
7,45,1,0
7,46,0,2
7,47,1,0
7,48,0,2
7,49,1,0
7,50,1,0
7,51,0,2
7,52,0,2
7,53,1,0
7,54,0,2
7,55,0,2
7,56,0,2
7,57,0,2
7,58,0,2
7,59,1,10
7,60,1,0
7,61,1,0
7,62,1,0
7,63,1,10
7,64,0,2
7,65,1,0
7,66,1,0
7,67,1,0
7,68,1,0
7,69,0,2
7,70,1,0
7,71,1,0
7,72,0,2
7,73,1,0
7,74,1,0
7,75,0,2
7,76,1,0
7,77,0,2
7,78,1,0
7,79,1,0
7,80,1,0
7,81,1,0
7,82,0,2
7,83,0,2
7,84,0,2
7,85,0,2
7,86,1,0
7,87,0,2
7,88,0,2
7,89,0,2
7,90,1,0
7,91,0,2
7,92,1,0
7,93,1,0
7,94,1,0
7,95,0,2
7,96,0,2
7,97,0,2
7,98,1,0
7,99,1,0
8,0,0,2
8,1,1,0
8,2,0,2
8,3,0,2
8,4,1,0
8,5,1,0
8,6,0,2
8,7,0,2
8,8,1,0
8,9,0,2
8,10,1,0
8,11,0,2
8,12,0,2
8,13,1,0
8,14,1,0
8,15,1,0
8,16,0,2
8,17,1,0
8,18,1,0
8,19,0,2
8,20,1,0
8,21,1,0
8,22,0,2
8,23,1,0
8,24,0,2
8,25,1,0
8,26,1,0
8,27,1,0
8,28,1,0
8,29,1,10
8,30,0,2
8,31,0,2
8,32,1,0
8,33,1,0
8,34,0,2
8,35,0,2
8,36,1,0
8,37,1,0
8,38,1,0
8,39,0,2
8,40,1,0
8,41,0,2
8,42,1,0
8,43,1,0
8,44,1,0
8,45,0,2
8,46,0,2
8,47,1,0
8,48,0,2
8,49,0,2
8,50,0,2
8,51,0,2
8,52,0,2
8,53,1,0
8,54,1,10
8,55,1,0
8,56,0,2
8,57,0,2
8,58,1,0
8,59,0,2
8,60,1,10
8,61,0,2
8,62,0,2
8,63,0,2
8,64,0,2
8,65,1,0
8,66,1,0
8,67,0,2
8,68,0,2
8,69,0,2
8,70,0,2
8,71,0,2
8,72,0,2
8,73,1,0
8,74,0,2
8,75,0,2
8,76,0,2
8,77,1,0
8,78,1,0
8,79,0,2
8,80,1,0
8,81,1,0
8,82,0,2
8,83,0,2
8,84,1,0
8,85,1,0
8,86,0,2
8,87,0,2
8,88,0,2
8,89,0,2
8,90,1,0
8,91,0,2
8,92,1,0
8,93,0,2
8,94,1,0
8,95,0,2
8,96,1,0
8,97,1,0
8,98,0,2
8,99,0,2
9,0,1,0
9,1,1,0
9,2,1,0
9,3,0,2
9,4,0,2
9,5,1,0
9,6,0,2
9,7,1,0
9,8,0,2
9,9,0,2
9,10,1,0
9,11,1,0
9,12,0,2
9,13,0,2
9,14,0,2
9,15,1,0
9,16,0,2
9,17,1,0
9,18,0,2
9,19,0,2
9,20,1,10
9,21,1,0
9,22,0,2
9,23,1,0
9,24,1,0
9,25,1,0
9,26,0,2
9,27,0,2
9,28,0,2
9,29,0,2
9,30,1,0
9,31,1,0
9,32,1,0
9,33,1,0
9,34,0,2
9,35,1,0
9,36,1,10
9,37,0,2
9,38,1,0
9,39,0,2
9,40,0,2
9,41,1,0
9,42,1,0
9,43,1,0
9,44,0,2
9,45,0,2
9,46,1,0
9,47,0,2
9,48,0,2
9,49,1,0
9,50,1,0
9,51,0,2
9,52,0,2
9,53,0,2
9,54,0,2
9,55,0,2
9,56,1,0
9,57,1,0
9,58,0,2
9,59,1,0
9,60,1,10
9,61,0,2
9,62,1,0
9,63,1,0
9,64,0,2
9,65,0,2
9,66,1,0
9,67,1,0
9,68,0,2
9,69,0,2
9,70,1,0
9,71,0,2
9,72,0,2
9,73,0,2
9,74,1,0
9,75,0,2
9,76,1,0
9,77,1,0
9,78,0,2
9,79,1,0
9,80,1,10
9,81,1,0
9,82,1,0
9,83,1,10
9,84,0,2
9,85,0,2
9,86,1,0
9,87,0,2
9,88,1,0
9,89,1,0
9,90,1,0
9,91,0,2
9,92,1,0
9,93,0,2
9,94,0,2
9,95,1,0
9,96,0,2
9,97,1,0
9,98,1,0
9,99,0,2
10,0,1,0
10,1,1,0
10,2,0,2
10,3,1,0
10,4,0,2
10,5,0,2
10,6,1,10
10,7,1,10
10,8,0,2
10,9,0,2
10,10,0,2
10,11,0,2
10,12,0,2
10,13,1,0
10,14,1,0
10,15,1,0
10,16,1,0
10,17,1,0
10,18,0,2
10,19,1,0
10,20,1,0
10,21,1,10
10,22,0,2
10,23,0,2
10,24,1,0
10,25,0,2
10,26,1,0
10,27,0,2
10,28,0,2
10,29,0,2
10,30,0,2
10,31,0,2
10,32,1,0
10,33,1,0
10,34,1,0
10,35,0,2
10,36,1,0
10,37,0,2
10,38,0,2
10,39,1,10
10,40,1,0
10,41,0,2
10,42,0,2
10,43,1,10
10,44,1,0
10,45,0,2
10,46,1,0
10,47,0,2
10,48,0,2
10,49,1,0
10,50,1,0
10,51,1,0
10,52,1,0
10,53,1,0
10,54,0,2
10,55,0,2
10,56,0,2
10,57,0,2
10,58,1,0
10,59,0,2
10,60,0,2
10,61,0,2
10,62,0,2
10,63,1,0
10,64,0,2
10,65,0,2
10,66,1,10
10,67,0,2
10,68,0,2
10,69,1,0
10,70,1,0
10,71,1,0
10,72,1,0
10,73,1,0
10,74,0,2
10,75,1,10
10,76,0,2
10,77,0,2
10,78,1,0
10,79,1,0
10,80,1,0
10,81,1,0
10,82,0,2
10,83,1,0
10,84,1,0
10,85,1,0
10,86,1,0
10,87,1,0
10,88,0,2
10,89,0,2
10,90,1,0
10,91,1,0
10,92,1,0
10,93,1,0
10,94,1,0
10,95,0,2
10,96,0,2
10,97,1,10
10,98,0,2
10,99,1,0
11,0,1,0
11,1,1,0
11,2,1,0
11,3,0,2
11,4,0,2
11,5,1,0
11,6,1,0
11,7,0,2
11,8,0,2
11,9,0,2
11,10,0,2
11,11,0,2
11,12,0,2
11,13,0,2
11,14,0,2
11,15,1,0
11,16,1,0
11,17,0,2
11,18,0,2
11,19,0,2
11,20,1,0
11,21,1,0
11,22,1,0
11,23,1,0
11,24,0,2
11,25,0,2
11,26,1,0
11,27,0,2
11,28,0,2
11,29,0,2
11,30,0,2
11,31,1,0
11,32,1,0
11,33,1,0
11,34,1,0
11,35,1,0
11,36,1,0
11,37,0,2
11,38,0,2
11,39,1,0
11,40,1,0
11,41,0,2
11,42,0,2
11,43,0,2
11,44,1,0
11,45,0,2
11,46,0,2
11,47,0,2
11,48,0,2
11,49,0,2
11,50,1,0
11,51,0,2
11,52,1,0
11,53,1,0
11,54,0,2
11,55,1,10
11,56,1,0
11,57,1,0
11,58,0,2
11,59,1,0
11,60,1,0
11,61,1,0
11,62,1,0
11,63,1,0
11,64,1,0
11,65,0,2
11,66,0,2
11,67,0,2
11,68,1,0
11,69,1,0
11,70,1,10
11,71,0,2
11,72,1,0
11,73,1,0
11,74,0,2
11,75,0,2
11,76,1,0
11,77,1,0
11,78,1,0
11,79,1,0
11,80,1,0
11,81,1,10
11,82,1,0
11,83,1,0
11,84,1,10
11,85,0,2
11,86,1,0
11,87,0,2
11,88,1,0
11,89,0,2
11,90,0,2
11,91,0,2
11,92,0,2
11,93,0,2
11,94,1,0
11,95,1,0
11,96,1,0
11,97,1,0
11,98,0,2
11,99,0,2
12,0,1,0
12,1,1,0
12,2,0,2
12,3,0,2
12,4,0,2
12,5,0,2
12,6,0,2
12,7,0,2
12,8,1,0
12,9,1,0
12,10,1,0
12,11,1,0
12,12,1,0
12,13,0,2
12,14,1,0
12,15,1,0
12,16,0,2
12,17,1,10
12,18,1,0
12,19,1,0
12,20,1,0
12,21,0,2
12,22,1,0
12,23,0,2
12,24,1,0
12,25,0,2
12,26,0,2
12,27,0,2
12,28,0,2
12,29,0,2
12,30,1,10
12,31,0,2
12,32,0,2
12,33,1,10
12,34,0,2
12,35,1,0
12,36,1,0
12,37,1,0
12,38,0,2
12,39,1,0
12,40,1,10
12,41,1,0
12,42,0,2
12,43,0,2
12,44,1,0
12,45,1,0
12,46,0,2
12,47,0,2
12,48,1,0
12,49,1,0
12,50,0,2
12,51,1,0
12,52,1,0
12,53,0,2
12,54,0,2
12,55,1,0
12,56,0,2
12,57,1,0
12,58,0,2
12,59,1,0
12,60,1,0
12,61,1,0
12,62,0,2
12,63,1,0
12,64,1,0
12,65,0,2
12,66,1,0
12,67,0,2
12,68,1,0
12,69,0,2
12,70,0,2
12,71,1,0
12,72,1,0
12,73,0,2
12,74,0,2
12,75,0,2
12,76,1,0
12,77,1,0
12,78,0,2
12,79,0,2
12,80,1,0
12,81,0,2
12,82,0,2
12,83,1,0
12,84,0,2
12,85,0,2
12,86,1,0
12,87,1,0
12,88,0,2
12,89,0,2
12,90,1,0
12,91,1,10
12,92,0,2
12,93,1,0
12,94,1,0
12,95,1,0
12,96,1,0
12,97,0,2
12,98,0,2
12,99,0,2
13,0,0,2
13,1,0,2
13,2,0,2
13,3,0,2
13,4,1,0
13,5,1,0
13,6,0,2
13,7,1,0
13,8,1,0
13,9,0,2
13,10,0,2
13,11,1,0
13,12,1,0
13,13,0,2
13,14,1,0
13,15,0,2
13,16,0,2
13,17,1,0
13,18,0,2
13,19,1,0
13,20,0,2
13,21,1,0
13,22,1,0
13,23,0,2
13,24,0,2
13,25,0,2
13,26,0,2
13,27,1,0
13,28,0,2
13,29,0,2
13,30,0,2
13,31,1,0
13,32,0,2
13,33,0,2
13,34,0,2
13,35,0,2
13,36,0,2
13,37,1,0
13,38,1,0
13,39,1,0
13,40,1,0
13,41,0,2
13,42,0,2
13,43,0,2
13,44,0,2
13,45,0,2
13,46,1,0
13,47,0,2
13,48,0,2
13,49,0,2
13,50,1,10
13,51,0,2
13,52,1,0
13,53,1,0
13,54,1,0
13,55,0,2
13,56,1,0
13,57,1,0
13,58,1,0
13,59,0,2
13,60,0,2
13,61,1,0
13,62,1,10
13,63,1,0
13,64,0,2
13,65,1,0
13,66,0,2
13,67,1,0
13,68,0,2
13,69,0,2
13,70,0,2
13,71,0,2
13,72,0,2
13,73,0,2
13,74,1,0
13,75,0,2
13,76,0,2
13,77,1,10
13,78,1,0
13,79,1,10
13,80,1,0
13,81,1,0
13,82,1,0
13,83,0,2
13,84,1,0
13,85,0,2
13,86,1,10
13,87,1,0
13,88,1,0
13,89,1,0
13,90,1,0
13,91,1,0
13,92,0,2
13,93,0,2
13,94,1,0
13,95,0,2
13,96,1,10
13,97,1,0
13,98,1,0
13,99,1,0
14,0,0,2
14,1,1,0
14,2,1,0
14,3,0,2
14,4,1,0
14,5,1,0
14,6,0,2
14,7,0,2
14,8,0,2
14,9,0,2
14,10,1,10
14,11,0,2
14,12,0,2
14,13,0,2
14,14,0,2
14,15,1,0
14,16,1,0
14,17,1,0
14,18,0,2
14,19,0,2
14,20,1,10
14,21,1,0
14,22,1,0
14,23,0,2
14,24,0,2
14,25,1,0
14,26,1,0
14,27,1,0
14,28,1,0
14,29,1,0
14,30,1,0
14,31,1,0
14,32,0,2
14,33,1,0
14,34,1,0
14,35,1,0
14,36,0,2
14,37,0,2
14,38,0,2
14,39,0,2
14,40,0,2
14,41,1,0
14,42,0,2
14,43,1,0
14,44,0,2
14,45,1,0
14,46,0,2
14,47,0,2
14,48,0,2
14,49,0,2
14,50,0,2
14,51,0,2
14,52,1,0
14,53,1,0
14,54,1,0
14,55,1,0
14,56,1,0
14,57,0,2
14,58,1,0
14,59,1,0
14,60,0,2
14,61,1,0
14,62,0,2
14,63,0,2
14,64,0,2
14,65,0,2
14,66,0,2
14,67,0,2
14,68,0,2
14,69,0,2
14,70,0,2
14,71,0,2
14,72,0,2
14,73,1,0
14,74,1,0
14,75,0,2
14,76,1,0
14,77,1,0
14,78,0,2
14,79,0,2
14,80,1,0
14,81,0,2
14,82,0,2
14,83,1,0
14,84,1,0
14,85,0,2
14,86,1,0
14,87,0,2
14,88,0,2
14,89,0,2
14,90,0,2
14,91,0,2
14,92,0,2
14,93,0,2
14,94,1,0
14,95,1,10
14,96,1,0
14,97,0,2
14,98,0,2
14,99,1,10
15,0,0,2
15,1,1,0
15,2,1,0
15,3,0,2
15,4,1,0
15,5,0,2
15,6,1,0
15,7,1,0
15,8,0,2
15,9,0,2
15,10,1,0
15,11,0,2
15,12,0,2
15,13,0,2
15,14,1,0
15,15,1,10
15,16,1,0
15,17,1,0
15,18,0,2
15,19,0,2
15,20,0,2
15,21,1,0
15,22,0,2
15,23,1,0
15,24,0,2
15,25,0,2
15,26,0,2
15,27,1,0
15,28,1,0
15,29,0,2
15,30,1,0
15,31,0,2
15,32,0,2
15,33,1,0
15,34,0,2
15,35,1,0
15,36,0,2
15,37,0,2
15,38,0,2
15,39,0,2
15,40,0,2
15,41,1,0
15,42,0,2
15,43,0,2
15,44,0,2
15,45,1,10
15,46,1,0
15,47,0,2
15,48,0,2
15,49,0,2
15,50,1,0
15,51,1,0
15,52,1,10
15,53,1,0
15,54,0,2
15,55,0,2
15,56,1,0
15,57,0,2
15,58,1,0
15,59,1,0
15,60,0,2
15,61,1,0
15,62,1,0
15,63,1,0
15,64,0,2
15,65,0,2
15,66,0,2
15,67,1,0
15,68,1,0
15,69,0,2
15,70,1,0
15,71,0,2
15,72,1,0
15,73,1,0
15,74,0,2
15,75,0,2
15,76,0,2
15,77,1,0
15,78,0,2
15,79,0,2
15,80,1,0
15,81,1,0
15,82,1,0
15,83,1,0
15,84,0,2
15,85,1,0
15,86,1,0
15,87,1,0
15,88,1,0
15,89,1,0
15,90,1,0
15,91,0,2
15,92,1,0
15,93,0,2
15,94,0,2
15,95,1,0
15,96,1,0
15,97,0,2
15,98,1,10
15,99,0,2
16,0,1,0
16,1,1,10
16,2,0,2
16,3,0,2
16,4,0,2
16,5,0,2
16,6,1,0
16,7,0,2
16,8,1,0
16,9,0,2
16,10,0,2
16,11,0,2
16,12,1,0
16,13,1,0
16,14,1,0
16,15,0,2
16,16,1,0
16,17,0,2
16,18,0,2
16,19,0,2
16,20,1,0
16,21,0,2
16,22,1,0
16,23,1,0
16,24,1,0
16,25,0,2
16,26,0,2
16,27,0,2
16,28,0,2
16,29,0,2
16,30,1,0
16,31,1,0
16,32,0,2
16,33,1,0
16,34,0,2
16,35,0,2
16,36,1,0
16,37,0,2
16,38,0,2
16,39,1,0
16,40,0,2
16,41,0,2
16,42,1,0
16,43,0,2
16,44,1,10
16,45,0,2
16,46,1,0
16,47,1,0
16,48,1,0
16,49,0,2
16,50,1,0
16,51,0,2
16,52,0,2
16,53,0,2
16,54,0,2
16,55,1,0
16,56,0,2
16,57,1,0
16,58,0,2
16,59,1,0
16,60,0,2
16,61,0,2
16,62,1,0
16,63,1,0
16,64,0,2
16,65,1,0
16,66,0,2
16,67,1,0
16,68,0,2
16,69,0,2
16,70,0,2
16,71,0,2
16,72,0,2
16,73,1,0
16,74,0,2
16,75,1,0
16,76,1,0
16,77,1,0
16,78,1,0
16,79,1,10
16,80,0,2
16,81,1,0
16,82,1,0
16,83,0,2
16,84,1,0
16,85,1,0
16,86,0,2
16,87,0,2
16,88,1,0
16,89,1,0
16,90,0,2
16,91,0,2
16,92,0,2
16,93,1,0
16,94,1,0
16,95,1,0
16,96,1,0
16,97,1,0
16,98,0,2
16,99,1,0
17,0,1,0
17,1,1,0
17,2,1,0
17,3,1,0
17,4,1,0
17,5,1,10
17,6,1,0
17,7,0,2
17,8,1,0
17,9,0,2
17,10,1,10
17,11,1,0
17,12,0,2
17,13,1,0
17,14,1,0
17,15,1,0
17,16,1,0
17,17,1,0
17,18,1,0
17,19,1,0
17,20,0,2
17,21,0,2
17,22,0,2
17,23,0,2
17,24,0,2
17,25,1,0
17,26,0,2
17,27,1,0
17,28,0,2
17,29,1,10
17,30,0,2
17,31,1,10
17,32,1,0
17,33,0,2
17,34,0,2
17,35,0,2
17,36,0,2
17,37,1,0
17,38,0,2
17,39,1,0
17,40,0,2
17,41,0,2
17,42,0,2
17,43,0,2
17,44,0,2
17,45,1,0
17,46,0,2
