ID,round,choice,reward
1,49,1,7.714285714285714
1,50,1,0.0
1,51,1,0.0
1,52,1,7.714285714285714
1,53,1,0.0
1,54,1,0.0
1,55,1,7.714285714285714
1,56,1,7.714285714285714
1,57,1,7.714285714285714
1,58,1,7.714285714285714
1,59,1,7.714285714285714
1,60,1,7.714285714285714
1,61,1,7.714285714285714
1,62,1,7.714285714285714
1,63,1,0.0
1,64,1,0.0
1,65,1,7.714285714285714
1,66,1,7.714285714285714
1,67,1,7.714285714285714
1,68,1,7.714285714285714
1,69,1,7.714285714285714
1,70,1,7.714285714285714
1,71,1,0.0
1,72,1,7.714285714285714
1,73,1,7.714285714285714
1,74,1,7.714285714285714
1,75,1,7.714285714285714
1,76,1,7.714285714285714
1,77,1,0.0
1,78,1,7.714285714285714
1,79,1,7.714285714285714
1,80,1,7.714285714285714
1,81,1,0.0
1,82,1,0.0
1,83,1,0.0
1,84,1,7.714285714285714
1,85,1,7.714285714285714
1,86,0,5.0
1,87,0,5.0
1,88,0,5.0
1,89,0,5.0
1,90,0,5.0
1,91,0,5.0
1,92,0,5.0
1,93,0,5.0
1,94,0,5.0
1,95,0,5.0
1,96,0,5.0
1,97,0,5.0
1,98,0,5.0
1,99,0,5.0
2,0,1,0.0
2,1,1,7.714285714285714
2,2,0,5.0
2,3,1,7.714285714285714
2,4,1,7.714285714285714
2,5,1,7.714285714285714
2,6,1,7.714285714285714
2,7,1,7.714285714285714
2,8,1,7.714285714285714
2,9,0,5.0
2,10,0,5.0
2,11,1,7.714285714285714
2,12,1,7.714285714285714
2,13,1,7.714285714285714
2,14,1,0.0
2,15,1,7.714285714285714
2,16,0,5.0
2,17,0,5.0
2,18,1,0.0
2,19,0,5.0
2,20,1,7.714285714285714
2,21,1,7.714285714285714
2,22,1,7.714285714285714
2,23,1,7.714285714285714
2,24,1,0.0
2,25,1,7.714285714285714
2,26,1,7.714285714285714
2,27,1,7.714285714285714
2,28,1,0.0
2,29,1,7.714285714285714
2,30,1,0.0
2,31,0,5.0
2,32,0,5.0
2,33,0,5.0
2,34,0,5.0
2,35,0,5.0
2,36,0,5.0
2,37,0,5.0
2,38,0,5.0
2,39,0,5.0
2,40,0,5.0
2,41,0,5.0
2,42,0,5.0
2,43,0,5.0
2,44,0,5.0
2,45,0,5.0
2,46,0,5.0
2,47,0,5.0
2,48,0,5.0
2,49,0,5.0
2,50,0,5.0
2,51,0,5.0
2,52,0,5.0
2,53,0,5.0
2,54,0,5.0
2,55,0,5.0
2,56,0,5.0
2,57,0,5.0
2,58,0,5.0
2,59,0,5.0
2,60,0,5.0
2,61,0,5.0
2,62,0,5.0
2,63,0,5.0
2,64,0,5.0
2,65,0,5.0
2,66,0,5.0
2,67,0,5.0
2,68,0,5.0
2,69,0,5.0
2,70,0,5.0
2,71,0,5.0
2,72,0,5.0
2,73,0,5.0
2,74,0,5.0
2,75,0,5.0
2,76,0,5.0
2,77,0,5.0
2,78,0,5.0
2,79,0,5.0
2,80,0,5.0
2,81,0,5.0
2,82,0,5.0
2,83,0,5.0
2,84,0,5.0
2,85,0,5.0
2,86,0,5.0
2,87,0,5.0
2,88,0,5.0
2,89,0,5.0
2,90,0,5.0
2,91,0,5.0
2,92,0,5.0
2,93,0,5.0
2,94,0,5.0
2,95,0,5.0
2,96,0,5.0
2,97,0,5.0
2,98,0,5.0
2,99,0,5.0
3,0,1,7.714285714285714
3,1,0,5.0
3,2,0,5.0
3,3,0,5.0
3,4,0,5.0
3,5,0,5.0
3,6,1,7.714285714285714
3,7,1,0.0
3,8,1,7.714285714285714
3,9,1,7.714285714285714
3,10,1,0.0
3,11,1,0.0
3,12,1,7.714285714285714
3,13,1,7.714285714285714
3,14,1,7.714285714285714
3,15,1,7.714285714285714
3,16,1,7.714285714285714
3,17,1,7.714285714285714
3,18,1,0.0
3,19,1,0.0
3,20,1,7.714285714285714
3,21,1,0.0
3,22,1,7.714285714285714
3,23,1,0.0
3,24,1,7.714285714285714
3,25,1,0.0
3,26,1,7.714285714285714
3,27,1,7.714285714285714
3,28,1,0.0
3,29,1,7.714285714285714
3,30,1,7.714285714285714
3,31,1,7.714285714285714
3,32,1,7.714285714285714
3,33,1,0.0
3,34,1,7.714285714285714
3,35,1,7.714285714285714
3,36,1,0.0
3,37,1,7.714285714285714
3,38,1,7.714285714285714
3,39,1,7.714285714285714
3,40,1,0.0
3,41,1,7.714285714285714
3,42,1,7.714285714285714
3,43,1,7.714285714285714
3,44,1,7.714285714285714
3,45,1,7.714285714285714
3,46,1,7.714285714285714
3,47,1,7.714285714285714
3,48,1,7.714285714285714
3,49,1,7.714285714285714
3,50,1,0.0
3,51,1,7.714285714285714
3,52,1,7.714285714285714
3,53,1,7.714285714285714
3,54,1,7.714285714285714
3,55,1,7.714285714285714
3,56,1,7.714285714285714
3,57,1,0.0
3,58,1,7.714285714285714
3,59,1,7.714285714285714
3,60,1,7.714285714285714
3,61,1,7.714285714285714
3,62,1,7.714285714285714
3,63,1,7.714285714285714
3,64,1,7.714285714285714
3,65,1,7.714285714285714
3,66,1,0.0
3,67,1,7.714285714285714
3,68,1,7.714285714285714
3,69,1,0.0
3,70,1,0.0
3,71,1,7.714285714285714
3,72,1,7.714285714285714
3,73,1,0.0
3,74,1,7.714285714285714
3,75,1,7.714285714285714
3,76,1,7.714285714285714
3,77,1,0.0
3,78,1,0.0
3,79,1,7.714285714285714
3,80,1,0.0
3,81,1,7.714285714285714
3,82,1,7.714285714285714
3,83,1,0.0
3,84,1,7.714285714285714
3,85,1,7.714285714285714
3,86,1,7.714285714285714
3,87,1,7.714285714285714
3,88,1,7.714285714285714
3,89,1,7.714285714285714
3,90,1,7.714285714285714
3,91,1,7.714285714285714
3,92,1,7.714285714285714
3,93,1,7.714285714285714
3,94,1,7.714285714285714
3,95,1,0.0
3,96,1,7.714285714285714
3,97,1,7.714285714285714
3,98,1,0.0
3,99,1,7.714285714285714
4,0,0,5.0
4,1,1,7.714285714285714
4,2,0,5.0
4,3,0,5.0
4,4,0,5.0
4,5,0,5.0
4,6,0,5.0
4,7,0,5.0
4,8,0,5.0
4,9,0,5.0
4,10,0,5.0
4,11,0,5.0
4,12,0,5.0
4,13,0,5.0
4,14,0,5.0
4,15,0,5.0
4,16,0,5.0
4,17,0,5.0
4,18,0,5.0
4,19,0,5.0
4,20,0,5.0
4,21,0,5.0
4,22,0,5.0
4,23,0,5.0
4,24,0,5.0
4,25,0,5.0
4,26,0,5.0
4,27,0,5.0
4,28,0,5.0
4,29,0,5.0
4,30,0,5.0
4,31,0,5.0
4,32,0,5.0
4,33,0,5.0
4,34,0,5.0
4,35,0,5.0
4,36,0,5.0
4,37,0,5.0
4,38,0,5.0
4,39,0,5.0
4,40,0,5.0
4,41,0,5.0
4,42,0,5.0
4,43,0,5.0
4,44,0,5.0
4,45,0,5.0
4,46,0,5.0
4,47,0,5.0
4,48,0,5.0
4,49,0,5.0
4,50,0,5.0
4,51,0,5.0
4,52,0,5.0
4,53,0,5.0
4,54,0,5.0
4,55,0,5.0
4,56,0,5.0
4,57,0,5.0
4,58,0,5.0
4,59,0,5.0
4,60,0,5.0
4,61,0,5.0
4,62,0,5.0
4,63,0,5.0
4,64,0,5.0
4,65,0,5.0
4,66,0,5.0
4,67,0,5.0
4,68,0,5.0
4,69,0,5.0
4,70,0,5.0
4,71,0,5.0
4,72,0,5.0
4,73,0,5.0
4,74,0,5.0
4,75,0,5.0
4,76,0,5.0
4,77,0,5.0
4,78,0,5.0
4,79,0,5.0
4,80,0,5.0
4,81,0,5.0
4,82,0,5.0
4,83,0,5.0
4,84,0,5.0
4,85,0,5.0
4,86,0,5.0
4,87,0,5.0
4,88,0,5.0
4,89,0,5.0
4,90,0,5.0
4,91,0,5.0
4,92,0,5.0
4,93,0,5.0
4,94,0,5.0
4,95,0,5.0
4,96,0,5.0
4,97,0,5.0
4,98,0,5.0
4,99,0,5.0
5,0,0,5.0
5,1,0,5.0
5,2,1,0.0
5,3,1,0.0
5,4,1,7.714285714285714
5,5,0,5.0
5,6,0,5.0
5,7,0,5.0
5,8,0,5.0
5,9,1,7.714285714285714
5,10,0,5.0
5,11,1,7.714285714285714
5,12,1,0.0
5,13,1,0.0
5,14,1,7.714285714285714
5,15,0,5.0
5,16,0,5.0
5,17,0,5.0
5,18,0,5.0
5,19,0,5.0
5,20,0,5.0
5,21,0,5.0
5,22,0,5.0
5,23,0,5.0
5,24,0,5.0
5,25,0,5.0
5,26,0,5.0
5,27,0,5.0
5,28,0,5.0
5,29,0,5.0
5,30,0,5.0
5,31,0,5.0
5,32,0,5.0
5,33,0,5.0
5,34,0,5.0
5,35,0,5.0
5,36,0,5.0
5,37,0,5.0
5,38,0,5.0
5,39,0,5.0
5,40,0,5.0
5,41,0,5.0
5,42,0,5.0
5,43,0,5.0
5,44,0,5.0
5,45,0,5.0
5,46,0,5.0
5,47,0,5.0
5,48,0,5.0
5,49,0,5.0
5,50,0,5.0
5,51,0,5.0
5,52,0,5.0
5,53,0,5.0
5,54,0,5.0
5,55,0,5.0
5,56,0,5.0
5,57,0,5.0
5,58,0,5.0
5,59,0,5.0
5,60,0,5.0
5,61,0,5.0
5,62,0,5.0
5,63,0,5.0
5,64,0,5.0
5,65,0,5.0
5,66,0,5.0
5,67,0,5.0
5,68,0,5.0
5,69,0,5.0
5,70,0,5.0
5,71,0,5.0
5,72,0,5.0
5,73,0,5.0
5,74,0,5.0
5,75,0,5.0
5,76,0,5.0
5,77,1,0.0
5,78,0,5.0
5,79,1,7.714285714285714
5,80,1,7.714285714285714
5,81,1,7.714285714285714
5,82,1,7.714285714285714
5,83,1,7.714285714285714
5,84,1,0.0
5,85,1,7.714285714285714
5,86,1,0.0
5,87,0,5.0
5,88,0,5.0
5,89,1,7.714285714285714
5,90,0,5.0
5,91,1,7.714285714285714
5,92,0,5.0
5,93,1,7.714285714285714
5,94,0,5.0
5,95,1,0.0
5,96,0,5.0
5,97,1,7.714285714285714
5,98,0,5.0
5,99,0,5.0
6,0,1,7.714285714285714
6,1,0,5.0
6,2,1,7.714285714285714
6,3,0,5.0
6,4,0,5.0
6,5,1,7.714285714285714
6,6,0,5.0
6,7,0,5.0
6,8,1,7.714285714285714
6,9,0,5.0
6,10,0,5.0
6,11,0,5.0
6,12,0,5.0
6,13,1,7.714285714285714
6,14,1,0.0
6,15,0,5.0
6,16,1,7.714285714285714
6,17,0,5.0
6,18,0,5.0
6,19,0,5.0
6,20,0,5.0
6,21,0,5.0
6,22,0,5.0
6,23,0,5.0
6,24,0,5.0
6,25,0,5.0
6,26,0,5.0
6,27,0,5.0
6,28,0,5.0
6,29,0,5.0
6,30,1,7.714285714285714
6,31,1,0.0
6,32,0,5.0
6,33,0,5.0
6,34,0,5.0
6,35,0,5.0
6,36,0,5.0
6,37,0,5.0
6,38,0,5.0
6,39,0,5.0
6,40,0,5.0
6,41,0,5.0
6,42,0,5.0
6,43,0,5.0
6,44,0,5.0
6,45,0,5.0
6,46,0,5.0
6,47,0,5.0
6,48,0,5.0
6,49,0,5.0
6,50,0,5.0
6,51,0,5.0
6,52,0,5.0
6,53,0,5.0
6,54,0,5.0
6,55,0,5.0
6,56,0,5.0
6,57,0,5.0
6,58,0,5.0
6,59,0,5.0
6,60,0,5.0
6,61,0,5.0
6,62,0,5.0
6,63,0,5.0
6,64,0,5.0
6,65,0,5.0
6,66,0,5.0
6,67,0,5.0
6,68,0,5.0
6,69,0,5.0
6,70,0,5.0
6,71,0,5.0
6,72,0,5.0
6,73,0,5.0
6,74,0,5.0
6,75,0,5.0
6,76,0,5.0
6,77,0,5.0
6,78,0,5.0
6,79,0,5.0
6,80,0,5.0
6,81,0,5.0
6,82,0,5.0
6,83,0,5.0
6,84,0,5.0
6,85,0,5.0
6,86,0,5.0
6,87,0,5.0
6,88,0,5.0
6,89,0,5.0
6,90,0,5.0
6,91,0,5.0
6,92,0,5.0
6,93,0,5.0
6,94,0,5.0
6,95,0,5.0
6,96,0,5.0
6,97,0,5.0
6,98,0,5.0
6,99,0,5.0
7,0,0,5.0
7,1,0,5.0
7,2,0,5.0
7,3,1,0.0
7,4,1,7.714285714285714
7,5,0,5.0
7,6,0,5.0
7,7,1,7.714285714285714
7,8,1,7.714285714285714
7,9,1,7.714285714285714
7,10,1,0.0
7,11,1,7.714285714285714
7,12,1,7.714285714285714
7,13,1,0.0
7,14,1,7.714285714285714
7,15,1,7.714285714285714
7,16,1,7.714285714285714
7,17,1,7.714285714285714
7,18,1,0.0
7,19,1,0.0
7,20,1,0.0
7,21,1,7.714285714285714
7,22,1,7.714285714285714
7,23,1,7.714285714285714
7,24,1,7.714285714285714
7,25,1,7.714285714285714
7,26,1,7.714285714285714
7,27,1,7.714285714285714
7,28,1,7.714285714285714
7,29,1,7.714285714285714
7,30,1,7.714285714285714
7,31,1,0.0
7,32,1,0.0
7,33,1,7.714285714285714
7,34,1,0.0
7,35,1,0.0
7,36,1,0.0
7,37,1,7.714285714285714
7,38,1,7.714285714285714
7,39,1,0.0
7,40,1,0.0
7,41,1,7.714285714285714
7,42,1,7.714285714285714
7,43,1,7.714285714285714
7,44,1,7.714285714285714
7,45,1,7.714285714285714
7,46,1,7.714285714285714
7,47,1,0.0
7,48,1,7.714285714285714
7,49,1,7.714285714285714
7,50,1,0.0
7,51,1,7.714285714285714
7,52,1,0.0
7,53,1,0.0
7,54,1,7.714285714285714
7,55,1,7.714285714285714
7,56,1,7.714285714285714
7,57,1,7.714285714285714
7,58,1,7.714285714285714
7,59,1,7.714285714285714
7,60,1,0.0
7,61,1,7.714285714285714
7,62,1,7.714285714285714
7,63,1,7.714285714285714
7,64,1,7.714285714285714
7,65,1,0.0
7,66,1,7.714285714285714
7,67,1,7.714285714285714
7,68,1,0.0
7,69,1,7.714285714285714
7,70,1,7.714285714285714
7,71,1,7.714285714285714
7,72,1,7.714285714285714
7,73,1,7.714285714285714
7,74,1,7.714285714285714
7,75,1,0.0
7,76,1,7.714285714285714
7,77,1,7.714285714285714
7,78,1,0.0
7,79,1,0.0
7,80,1,7.714285714285714
7,81,1,7.714285714285714
7,82,1,0.0
7,83,1,7.714285714285714
7,84,1,7.714285714285714
7,85,1,0.0
7,86,1,7.714285714285714
7,87,1,7.714285714285714
7,88,1,7.714285714285714
7,89,1,7.714285714285714
7,90,1,0.0
7,91,1,0.0
7,92,1,7.714285714285714
7,93,1,7.714285714285714
7,94,1,7.714285714285714
7,95,1,7.714285714285714
7,96,1,7.714285714285714
7,97,1,7.714285714285714
7,98,1,0.0
7,99,1,7.714285714285714
8,0,0,5.0
8,1,0,5.0
8,2,1,7.714285714285714
8,3,1,7.714285714285714
8,4,1,7.714285714285714
8,5,1,7.714285714285714
8,6,1,7.714285714285714
8,7,1,7.714285714285714
8,8,0,5.0
8,9,1,7.714285714285714
8,10,1,7.714285714285714
8,11,1,7.714285714285714
8,12,1,7.714285714285714
8,13,1,7.714285714285714
8,14,0,5.0
8,15,0,5.0
8,16,0,5.0
8,17,0,5.0
8,18,0,5.0
8,19,0,5.0
8,20,0,5.0
8,21,0,5.0
8,22,0,5.0
8,23,0,5.0
8,24,0,5.0
8,25,0,5.0
8,26,0,5.0
8,27,0,5.0
8,28,0,5.0
8,29,0,5.0
8,30,0,5.0
8,31,0,5.0
8,32,0,5.0
8,33,0,5.0
8,34,0,5.0
8,35,0,5.0
8,36,0,5.0
8,37,0,5.0
8,38,0,5.0
8,39,0,5.0
8,40,0,5.0
8,41,0,5.0
8,42,0,5.0
8,43,0,5.0
8,44,0,5.0
8,45,0,5.0
8,46,0,5.0
8,47,0,5.0
8,48,1,7.714285714285714
8,49,1,0.0
8,50,0,5.0
8,51,0,5.0
8,52,1,7.714285714285714
8,53,1,7.714285714285714
8,54,1,7.714285714285714
8,55,1,7.714285714285714
8,56,1,7.714285714285714
8,57,1,0.0
8,58,1,7.714285714285714
8,59,0,5.0
8,60,0,5.0
8,61,0,5.0
8,62,0,5.0
8,63,0,5.0
8,64,0,5.0
8,65,0,5.0
8,66,0,5.0
8,67,0,5.0
8,68,0,5.0
8,69,0,5.0
8,70,0,5.0
8,71,0,5.0
8,72,0,5.0
8,73,0,5.0
8,74,0,5.0
8,75,0,5.0
8,76,0,5.0
8,77,0,5.0
8,78,0,5.0
8,79,0,5.0
8,80,0,5.0
8,81,0,5.0
8,82,0,5.0
8,83,0,5.0
8,84,0,5.0
8,85,0,5.0
8,86,0,5.0
8,87,0,5.0
8,88,0,5.0
8,89,0,5.0
8,90,0,5.0
8,91,0,5.0
8,92,0,5.0
8,93,0,5.0
8,94,0,5.0
8,95,0,5.0
8,96,0,5.0
8,97,0,5.0
8,98,0,5.0
8,99,0,5.0
9,0,0,5.0
9,1,0,5.0
9,2,0,5.0
9,3,0,5.0
9,4,0,5.0
9,5,0,5.0
9,6,0,5.0
9,7,0,5.0
9,8,0,5.0
9,9,0,5.0
9,10,0,5.0
9,11,0,5.0
9,12,0,5.0
9,13,0,5.0
9,14,0,5.0
9,15,0,5.0
9,16,0,5.0
9,17,0,5.0
9,18,0,5.0
9,19,0,5.0
9,20,0,5.0
9,21,0,5.0
9,22,0,5.0
9,23,0,5.0
9,24,0,5.0
9,25,0,5.0
9,26,0,5.0
9,27,0,5.0
9,28,0,5.0
9,29,0,5.0
9,30,0,5.0
9,31,0,5.0
9,32,0,5.0
9,33,0,5.0
9,34,0,5.0
9,35,0,5.0
9,36,0,5.0
9,37,0,5.0
9,38,0,5.0
9,39,0,5.0
9,40,0,5.0
9,41,0,5.0
9,42,0,5.0
9,43,0,5.0
9,44,0,5.0
9,45,0,5.0
9,46,0,5.0
9,47,0,5.0
9,48,0,5.0
9,49,0,5.0
9,50,0,5.0
9,51,0,5.0
9,52,0,5.0
9,53,0,5.0
9,54,0,5.0
9,55,0,5.0
9,56,0,5.0
9,57,0,5.0
9,58,0,5.0
9,59,0,5.0
9,60,0,5.0
9,61,0,5.0
9,62,0,5.0
9,63,0,5.0
9,64,0,5.0
9,65,0,5.0
9,66,0,5.0
9,67,0,5.0
9,68,0,5.0
9,69,0,5.0
9,70,0,5.0
9,71,0,5.0
9,72,0,5.0
9,73,0,5.0
9,74,0,5.0
9,75,0,5.0
9,76,0,5.0
9,77,0,5.0
9,78,0,5.0
9,79,0,5.0
9,80,0,5.0
9,81,1,7.714285714285714
9,82,1,0.0
9,83,1,0.0
9,84,0,5.0
9,85,0,5.0
9,86,0,5.0
9,87,0,5.0
9,88,0,5.0
9,89,0,5.0
9,90,0,5.0
9,91,0,5.0
9,92,0,5.0
9,93,0,5.0
9,94,0,5.0
9,95,0,5.0
9,96,0,5.0
9,97,0,5.0
9,98,0,5.0
9,99,0,5.0
10,0,0,5.0
10,1,0,5.0
10,2,0,5.0
10,3,0,5.0
10,4,0,5.0
10,5,0,5.0
10,6,0,5.0
10,7,0,5.0
10,8,0,5.0
10,9,0,5.0
10,10,0,5.0
10,11,0,5.0
10,12,0,5.0
10,13,0,5.0
10,14,0,5.0
10,15,0,5.0
10,16,0,5.0
10,17,0,5.0
10,18,0,5.0
10,19,0,5.0
10,20,0,5.0
10,21,0,5.0
10,22,0,5.0
10,23,0,5.0
10,24,0,5.0
10,25,0,5.0
10,26,0,5.0
10,27,0,5.0
10,28,0,5.0
10,29,0,5.0
10,30,0,5.0
10,31,0,5.0
10,32,0,5.0
10,33,0,5.0
10,34,0,5.0
10,35,0,5.0
10,36,0,5.0
10,37,0,5.0
10,38,0,5.0
10,39,0,5.0
10,40,0,5.0
10,41,0,5.0
10,42,0,5.0
10,43,0,5.0
10,44,0,5.0
10,45,0,5.0
10,46,0,5.0
10,47,0,5.0
10,48,0,5.0
10,49,0,5.0
10,50,0,5.0
10,51,0,5.0
10,52,0,5.0
10,53,0,5.0
10,54,0,5.0
10,55,0,5.0
10,56,0,5.0
10,57,0,5.0
10,58,0,5.0
10,59,0,5.0
10,60,0,5.0
10,61,0,5.0
10,62,0,5.0
10,63,0,5.0
10,64,0,5.0
10,65,0,5.0
10,66,0,5.0
10,67,0,5.0
10,68,0,5.0
10,69,0,5.0
10,70,0,5.0
10,71,0,5.0
10,72,0,5.0
10,73,0,5.0
10,74,0,5.0
10,75,0,5.0
10,76,0,5.0
10,77,0,5.0
10,78,0,5.0
10,79,0,5.0
10,80,0,5.0
10,81,0,5.0
10,82,0,5.0
10,83,0,5.0
10,84,0,5.0
10,85,0,5.0
10,86,0,5.0
10,87,0,5.0
10,88,0,5.0
10,89,0,5.0
10,90,0,5.0
10,91,0,5.0
10,92,0,5.0
10,93,0,5.0
10,94,0,5.0
10,95,0,5.0
10,96,0,5.0
10,97,0,5.0
10,98,0,5.0
10,99,0,5.0
11,0,1,7.714285714285714
11,1,0,5.0
11,2,1,7.714285714285714
11,3,1,0.0
11,4,1,7.714285714285714
11,5,0,5.0
11,6,1,7.714285714285714
11,7,1,7.714285714285714
11,8,1,7.714285714285714
11,9,1,0.0
11,10,1,7.714285714285714
11,11,1,0.0
11,12,1,0.0
11,13,1,7.714285714285714
11,14,1,7.714285714285714
11,15,1,7.714285714285714
11,16,0,5.0
11,17,0,5.0
11,18,0,5.0
11,19,0,5.0
11,20,0,5.0
11,21,1,7.714285714285714
11,22,1,7.714285714285714
11,23,1,0.0
11,24,1,7.714285714285714
11,25,0,5.0
11,26,0,5.0
11,27,1,7.714285714285714
11,28,1,7.714285714285714
11,29,1,0.0
11,30,1,0.0
11,31,0,5.0
11,32,0,5.0
11,33,0,5.0
11,34,0,5.0
11,35,0,5.0
11,36,0,5.0
11,37,0,5.0
11,38,0,5.0
11,39,0,5.0
11,40,0,5.0
11,41,0,5.0
11,42,0,5.0
11,43,0,5.0
11,44,0,5.0
11,45,0,5.0
11,46,0,5.0
11,47,0,5.0
11,48,0,5.0
11,49,0,5.0
11,50,0,5.0
11,51,0,5.0
11,52,0,5.0
11,53,0,5.0
11,54,0,5.0
11,55,0,5.0
11,56,0,5.0
11,57,0,5.0
11,58,0,5.0
11,59,0,5.0
11,60,0,5.0
11,61,0,5.0
11,62,0,5.0
11,63,0,5.0
11,64,0,5.0
11,65,0,5.0
11,66,0,5.0
11,67,0,5.0
11,68,0,5.0
11,69,0,5.0
11,70,0,5.0
11,71,0,5.0
11,72,0,5.0
11,73,0,5.0
11,74,0,5.0
11,75,0,5.0
11,76,0,5.0
11,77,0,5.0
11,78,0,5.0
11,79,0,5.0
11,80,0,5.0
11,81,0,5.0
11,82,0,5.0
11,83,0,5.0
11,84,0,5.0
11,85,0,5.0
11,86,0,5.0
11,87,0,5.0
11,88,0,5.0
11,89,0,5.0
11,90,0,5.0
11,91,0,5.0
11,92,0,5.0
11,93,0,5.0
11,94,0,5.0
11,95,0,5.0
11,96,0,5.0
11,97,0,5.0
11,98,0,5.0
11,99,0,5.0
12,0,1,7.714285714285714
12,1,0,5.0
12,2,1,0.0
12,3,1,0.0
12,4,0,5.0
12,5,0,5.0
12,6,0,5.0
12,7,0,5.0
12,8,1,7.714285714285714
12,9,1,7.714285714285714
12,10,1,7.714285714285714
12,11,1,7.714285714285714
12,12,1,0.0
12,13,1,7.714285714285714
12,14,1,0.0
12,15,1,7.714285714285714
12,16,0,5.0
12,17,1,7.714285714285714
12,18,0,5.0
12,19,1,7.714285714285714
12,20,0,5.0
12,21,0,5.0
12,22,0,5.0
12,23,0,5.0
12,24,0,5.0
12,25,0,5.0
12,26,0,5.0
12,27,0,5.0
12,28,0,5.0
12,29,0,5.0
12,30,0,5.0
12,31,0,5.0
12,32,0,5.0
12,33,0,5.0
12,34,0,5.0
12,35,0,5.0
12,36,1,7.714285714285714
12,37,1,7.714285714285714
12,38,1,7.714285714285714
12,39,1,7.714285714285714
12,40,1,7.714285714285714
12,41,1,0.0
12,42,1,7.714285714285714
12,43,1,7.714285714285714
12,44,1,7.714285714285714
12,45,1,7.714285714285714
12,46,1,7.714285714285714
12,47,1,7.714285714285714
12,48,1,7.714285714285714
12,49,1,7.714285714285714
12,50,1,7.714285714285714
12,51,1,7.714285714285714
12,52,1,7.714285714285714
12,53,1,7.714285714285714
