ID,round,choice,reward
1,15,1,8.0
1,16,0,6.8
1,17,1,8.0
1,18,1,0.0
1,19,1,0.0
1,20,1,0.0
1,21,0,6.8
1,22,1,0.0
1,23,1,8.0
1,24,1,8.0
1,25,1,0.0
1,26,1,0.0
1,27,1,0.0
1,28,1,0.0
1,29,0,6.8
1,30,1,0.0
1,31,1,0.0
1,32,0,6.8
1,33,1,0.0
1,34,1,8.0
1,35,1,0.0
1,36,1,0.0
1,37,0,6.8
1,38,0,6.8
1,39,0,6.8
1,40,1,0.0
1,41,0,6.8
1,42,0,6.8
1,43,0,6.8
1,44,1,0.0
1,45,1,0.0
1,46,0,6.8
1,47,1,0.0
1,48,0,6.8
1,49,0,6.8
1,50,1,0.0
1,51,0,6.8
1,52,0,6.8
1,53,1,8.0
1,54,1,0.0
1,55,1,0.0
1,56,1,0.0
1,57,0,6.8
1,58,1,0.0
1,59,0,6.8
1,60,0,6.8
1,61,1,0.0
1,62,1,0.0
1,63,0,6.8
1,64,0,6.8
1,65,0,6.8
1,66,0,6.8
1,67,0,6.8
1,68,0,6.8
1,69,0,6.8
1,70,0,6.8
1,71,1,0.0
1,72,0,6.8
1,73,0,6.8
1,74,0,6.8
1,75,0,6.8
1,76,0,6.8
1,77,0,6.8
1,78,0,6.8
1,79,1,0.0
1,80,0,6.8
1,81,0,6.8
1,82,0,6.8
1,83,0,6.8
1,84,0,6.8
1,85,0,6.8
1,86,0,6.8
1,87,0,6.8
1,88,0,6.8
1,89,1,0.0
1,90,0,6.8
1,91,0,6.8
1,92,1,8.0
1,93,0,6.8
1,94,0,6.8
1,95,0,6.8
1,96,0,6.8
1,97,0,6.8
1,98,0,6.8
1,99,1,0.0
2,0,0,6.8
2,1,1,0.0
2,2,0,6.8
2,3,1,0.0
2,4,1,0.0
2,5,1,0.0
2,6,0,6.8
2,7,0,6.8
2,8,0,6.8
2,9,0,6.8
2,10,1,8.0
2,11,1,0.0
2,12,1,8.0
2,13,1,0.0
2,14,1,8.0
2,15,0,6.8
2,16,0,6.8
2,17,1,8.0
2,18,1,8.0
2,19,1,0.0
2,20,1,0.0
2,21,1,0.0
2,22,0,6.8
2,23,0,6.8
2,24,0,6.8
2,25,0,6.8
2,26,0,6.8
2,27,0,6.8
2,28,1,0.0
2,29,0,6.8
2,30,0,6.8
2,31,0,6.8
2,32,1,0.0
2,33,1,8.0
2,34,0,6.8
2,35,1,0.0
2,36,1,0.0
2,37,0,6.8
2,38,0,6.8
2,39,0,6.8
2,40,0,6.8
2,41,1,0.0
2,42,0,6.8
2,43,0,6.8
2,44,1,0.0
2,45,1,8.0
2,46,0,6.8
2,47,0,6.8
2,48,1,0.0
2,49,0,6.8
2,50,0,6.8
2,51,0,6.8
2,52,0,6.8
2,53,0,6.8
2,54,0,6.8
2,55,1,0.0
2,56,0,6.8
2,57,1,0.0
2,58,1,0.0
2,59,1,8.0
2,60,1,8.0
2,61,1,8.0
2,62,0,6.8
2,63,1,0.0
2,64,0,6.8
2,65,0,6.8
2,66,1,0.0
2,67,0,6.8
2,68,1,0.0
2,69,1,0.0
2,70,1,0.0
2,71,1,0.0
2,72,0,6.8
2,73,0,6.8
2,74,0,6.8
2,75,1,8.0
2,76,0,6.8
2,77,0,6.8
2,78,1,0.0
2,79,0,6.8
2,80,0,6.8
2,81,0,6.8
2,82,0,6.8
2,83,0,6.8
2,84,0,6.8
2,85,0,6.8
2,86,1,8.0
2,87,0,6.8
2,88,0,6.8
2,89,0,6.8
2,90,0,6.8
2,91,1,8.0
2,92,1,0.0
2,93,1,0.0
2,94,0,6.8
2,95,0,6.8
2,96,0,6.8
2,97,1,0.0
2,98,0,6.8
2,99,0,6.8
3,0,1,0.0
3,1,0,6.8
3,2,1,0.0
3,3,1,0.0
3,4,1,8.0
3,5,1,0.0
3,6,0,6.8
3,7,1,0.0
3,8,0,6.8
3,9,0,6.8
3,10,0,6.8
3,11,0,6.8
3,12,1,8.0
3,13,0,6.8
3,14,1,0.0
3,15,1,8.0
3,16,1,8.0
3,17,1,0.0
3,18,1,0.0
3,19,0,6.8
3,20,0,6.8
3,21,0,6.8
3,22,0,6.8
3,23,0,6.8
3,24,0,6.8
3,25,0,6.8
3,26,1,8.0
3,27,1,0.0
3,28,1,0.0
3,29,1,0.0
3,30,0,6.8
3,31,0,6.8
3,32,1,8.0
3,33,1,0.0
3,34,1,0.0
3,35,1,0.0
3,36,1,0.0
3,37,0,6.8
3,38,0,6.8
3,39,0,6.8
3,40,1,8.0
3,41,1,0.0
3,42,0,6.8
3,43,0,6.8
3,44,0,6.8
3,45,0,6.8
3,46,0,6.8
3,47,0,6.8
3,48,1,0.0
3,49,1,0.0
3,50,0,6.8
3,51,1,0.0
3,52,1,0.0
3,53,0,6.8
3,54,0,6.8
3,55,0,6.8
3,56,0,6.8
3,57,1,0.0
3,58,0,6.8
3,59,1,0.0
3,60,1,0.0
3,61,0,6.8
3,62,1,0.0
3,63,1,0.0
3,64,0,6.8
3,65,0,6.8
3,66,0,6.8
3,67,1,0.0
3,68,1,8.0
3,69,1,0.0
3,70,1,0.0
3,71,0,6.8
3,72,0,6.8
3,73,1,0.0
3,74,1,0.0
3,75,1,0.0
3,76,1,0.0
3,77,1,8.0
3,78,1,8.0
3,79,0,6.8
3,80,1,0.0
3,81,0,6.8
3,82,0,6.8
3,83,1,8.0
3,84,1,0.0
3,85,1,0.0
3,86,1,0.0
3,87,0,6.8
3,88,0,6.8
3,89,0,6.8
3,90,1,0.0
3,91,1,0.0
3,92,0,6.8
3,93,0,6.8
3,94,0,6.8
3,95,0,6.8
3,96,0,6.8
3,97,0,6.8
3,98,1,8.0
3,99,1,8.0
4,0,0,6.8
4,1,1,0.0
4,2,0,6.8
4,3,0,6.8
4,4,0,6.8
4,5,0,6.8
4,6,0,6.8
4,7,0,6.8
4,8,1,0.0
4,9,0,6.8
4,10,0,6.8
4,11,0,6.8
4,12,0,6.8
4,13,0,6.8
4,14,1,0.0
4,15,1,0.0
4,16,0,6.8
4,17,0,6.8
4,18,0,6.8
4,19,0,6.8
4,20,0,6.8
4,21,0,6.8
4,22,0,6.8
4,23,0,6.8
4,24,1,0.0
4,25,1,8.0
4,26,0,6.8
4,27,1,8.0
4,28,1,0.0
4,29,0,6.8
4,30,1,0.0
4,31,0,6.8
4,32,0,6.8
4,33,0,6.8
4,34,0,6.8
4,35,0,6.8
4,36,0,6.8
4,37,1,0.0
4,38,0,6.8
4,39,1,0.0
4,40,0,6.8
4,41,1,0.0
4,42,1,0.0
4,43,1,8.0
4,44,1,0.0
4,45,1,0.0
4,46,0,6.8
4,47,1,8.0
4,48,1,8.0
4,49,1,0.0
4,50,1,0.0
4,51,0,6.8
4,52,1,0.0
4,53,1,8.0
4,54,1,0.0
4,55,0,6.8
4,56,1,0.0
4,57,0,6.8
4,58,1,0.0
4,59,0,6.8
4,60,0,6.8
4,61,1,8.0
4,62,0,6.8
4,63,0,6.8
4,64,1,0.0
4,65,0,6.8
4,66,0,6.8
4,67,1,0.0
4,68,1,8.0
4,69,1,8.0
4,70,1,0.0
4,71,0,6.8
4,72,0,6.8
4,73,0,6.8
4,74,1,0.0
4,75,1,0.0
4,76,0,6.8
4,77,0,6.8
4,78,0,6.8
4,79,0,6.8
4,80,1,8.0
4,81,1,0.0
4,82,1,0.0
4,83,1,0.0
4,84,1,0.0
4,85,0,6.8
4,86,0,6.8
4,87,0,6.8
4,88,1,8.0
4,89,1,8.0
4,90,1,0.0
4,91,0,6.8
4,92,1,0.0
4,93,0,6.8
4,94,0,6.8
4,95,0,6.8
4,96,0,6.8
4,97,1,0.0
4,98,1,0.0
4,99,0,6.8
5,0,0,6.8
5,1,1,8.0
5,2,0,6.8
5,3,1,0.0
5,4,1,0.0
5,5,1,0.0
5,6,1,0.0
5,7,1,0.0
5,8,0,6.8
5,9,1,0.0
5,10,0,6.8
5,11,1,0.0
5,12,0,6.8
5,13,1,0.0
5,14,0,6.8
5,15,0,6.8
5,16,0,6.8
5,17,1,0.0
5,18,0,6.8
5,19,0,6.8
5,20,0,6.8
5,21,0,6.8
5,22,0,6.8
5,23,0,6.8
5,24,1,0.0
5,25,0,6.8
5,26,0,6.8
5,27,1,0.0
5,28,1,0.0
5,29,0,6.8
5,30,1,8.0
5,31,1,0.0
5,32,1,0.0
5,33,0,6.8
5,34,0,6.8
5,35,0,6.8
5,36,1,0.0
5,37,1,8.0
5,38,1,0.0
5,39,1,0.0
5,40,1,0.0
5,41,1,8.0
5,42,0,6.8
5,43,0,6.8
5,44,0,6.8
5,45,1,8.0
5,46,1,0.0
5,47,1,0.0
5,48,0,6.8
5,49,0,6.8
5,50,0,6.8
5,51,0,6.8
5,52,1,0.0
5,53,1,8.0
5,54,1,8.0
5,55,1,0.0
5,56,1,0.0
5,57,0,6.8
5,58,1,0.0
5,59,1,0.0
5,60,1,8.0
5,61,1,0.0
5,62,1,8.0
5,63,1,0.0
5,64,0,6.8
5,65,0,6.8
5,66,1,8.0
5,67,1,0.0
5,68,1,0.0
5,69,0,6.8
5,70,1,0.0
5,71,1,0.0
5,72,0,6.8
5,73,0,6.8
5,74,1,8.0
5,75,1,8.0
5,76,1,8.0
5,77,1,8.0
5,78,1,0.0
5,79,1,0.0
5,80,0,6.8
5,81,1,8.0
5,82,0,6.8
5,83,1,0.0
5,84,1,8.0
5,85,0,6.8
5,86,0,6.8
5,87,0,6.8
5,88,0,6.8
5,89,0,6.8
5,90,0,6.8
5,91,0,6.8
5,92,0,6.8
5,93,0,6.8
5,94,0,6.8
5,95,1,8.0
5,96,1,0.0
5,97,1,0.0
5,98,1,0.0
5,99,1,0.0
6,0,1,0.0
6,1,1,0.0
6,2,0,6.8
6,3,0,6.8
6,4,0,6.8
6,5,0,6.8
6,6,1,8.0
6,7,1,0.0
6,8,1,8.0
6,9,1,0.0
6,10,1,0.0
6,11,1,0.0
6,12,0,6.8
6,13,0,6.8
6,14,0,6.8
6,15,0,6.8
6,16,1,0.0
6,17,0,6.8
6,18,1,0.0
6,19,1,8.0
6,20,0,6.8
6,21,1,8.0
6,22,1,8.0
6,23,0,6.8
6,24,0,6.8
6,25,0,6.8
6,26,0,6.8
6,27,0,6.8
6,28,0,6.8
6,29,0,6.8
6,30,0,6.8
6,31,1,0.0
6,32,0,6.8
6,33,1,0.0
6,34,1,0.0
6,35,0,6.8
6,36,1,8.0
6,37,0,6.8
6,38,0,6.8
6,39,0,6.8
6,40,0,6.8
6,41,1,0.0
6,42,1,0.0
6,43,0,6.8
6,44,1,8.0
6,45,1,0.0
6,46,0,6.8
6,47,0,6.8
6,48,0,6.8
6,49,1,8.0
6,50,0,6.8
6,51,0,6.8
6,52,0,6.8
6,53,0,6.8
6,54,1,0.0
6,55,0,6.8
6,56,0,6.8
6,57,0,6.8
6,58,0,6.8
6,59,1,0.0
6,60,0,6.8
6,61,1,0.0
6,62,1,0.0
6,63,1,0.0
6,64,0,6.8
6,65,0,6.8
6,66,1,8.0
6,67,0,6.8
6,68,0,6.8
6,69,1,0.0
6,70,1,0.0
6,71,0,6.8
6,72,0,6.8
6,73,0,6.8
6,74,0,6.8
6,75,0,6.8
6,76,1,0.0
6,77,0,6.8
6,78,0,6.8
6,79,1,0.0
6,80,0,6.8
6,81,1,0.0
6,82,0,6.8
6,83,0,6.8
6,84,0,6.8
6,85,0,6.8
6,86,1,0.0
6,87,0,6.8
6,88,0,6.8
6,89,0,6.8
6,90,1,8.0
6,91,1,0.0
6,92,0,6.8
6,93,1,0.0
6,94,0,6.8
6,95,0,6.8
6,96,0,6.8
6,97,0,6.8
6,98,0,6.8
6,99,1,0.0
7,0,1,0.0
7,1,1,0.0
7,2,0,6.8
7,3,0,6.8
7,4,1,0.0
7,5,0,6.8
7,6,0,6.8
7,7,0,6.8
7,8,0,6.8
7,9,1,8.0
7,10,1,0.0
7,11,0,6.8
7,12,0,6.8
7,13,0,6.8
7,14,0,6.8
7,15,0,6.8
7,16,0,6.8
7,17,0,6.8
7,18,0,6.8
7,19,1,0.0
7,20,1,0.0
7,21,0,6.8
7,22,0,6.8
7,23,0,6.8
7,24,0,6.8
7,25,0,6.8
7,26,0,6.8
7,27,0,6.8
7,28,0,6.8
7,29,0,6.8
7,30,1,0.0
7,31,1,0.0
7,32,0,6.8
7,33,1,0.0
7,34,0,6.8
7,35,0,6.8
7,36,0,6.8
7,37,0,6.8
7,38,1,0.0
7,39,0,6.8
7,40,0,6.8
7,41,1,0.0
7,42,0,6.8
7,43,1,8.0
7,44,0,6.8
7,45,0,6.8
7,46,0,6.8
7,47,0,6.8
7,48,0,6.8
7,49,1,8.0
7,50,0,6.8
7,51,1,0.0
7,52,0,6.8
7,53,1,0.0
7,54,1,0.0
7,55,0,6.8
7,56,1,0.0
7,57,0,6.8
7,58,0,6.8
7,59,1,8.0
7,60,0,6.8
7,61,0,6.8
7,62,0,6.8
7,63,1,0.0
7,64,1,0.0
7,65,1,0.0
7,66,0,6.8
7,67,1,8.0
7,68,1,8.0
7,69,0,6.8
7,70,0,6.8
7,71,0,6.8
7,72,0,6.8
7,73,1,0.0
7,74,0,6.8
7,75,0,6.8
7,76,1,0.0
7,77,1,0.0
7,78,0,6.8
7,79,0,6.8
7,80,0,6.8
7,81,0,6.8
7,82,0,6.8
7,83,0,6.8
7,84,0,6.8
7,85,1,0.0
7,86,0,6.8
7,87,0,6.8
7,88,0,6.8
7,89,0,6.8
7,90,0,6.8
7,91,1,0.0
7,92,0,6.8
7,93,1,8.0
7,94,1,8.0
7,95,1,8.0
7,96,0,6.8
7,97,0,6.8
7,98,0,6.8
7,99,0,6.8
8,0,1,0.0
8,1,0,6.8
8,2,1,8.0
8,3,1,0.0
8,4,1,0.0
8,5,0,6.8
8,6,1,0.0
8,7,0,6.8
8,8,1,0.0
8,9,0,6.8
8,10,0,6.8
8,11,0,6.8
8,12,0,6.8
8,13,1,0.0
8,14,1,8.0
8,15,1,8.0
8,16,1,0.0
8,17,1,0.0
8,18,0,6.8
8,19,0,6.8
8,20,0,6.8
8,21,0,6.8
8,22,0,6.8
8,23,0,6.8
8,24,0,6.8
8,25,0,6.8
8,26,0,6.8
8,27,1,0.0
8,28,1,0.0
8,29,1,8.0
8,30,1,8.0
8,31,1,0.0
8,32,1,0.0
8,33,0,6.8
8,34,0,6.8
8,35,1,0.0
8,36,0,6.8
8,37,1,0.0
8,38,1,0.0
8,39,1,0.0
8,40,1,0.0
8,41,1,8.0
8,42,1,0.0
8,43,1,8.0
8,44,1,0.0
8,45,1,8.0
8,46,1,0.0
8,47,1,0.0
8,48,1,8.0
8,49,1,0.0
8,50,1,0.0
8,51,1,0.0
8,52,1,0.0
8,53,1,8.0
8,54,0,6.8
8,55,0,6.8
8,56,0,6.8
8,57,1,8.0
8,58,1,0.0
8,59,1,8.0
8,60,0,6.8
8,61,1,0.0
8,62,0,6.8
8,63,0,6.8
8,64,0,6.8
8,65,0,6.8
8,66,0,6.8
8,67,0,6.8
8,68,0,6.8
8,69,0,6.8
8,70,1,0.0
8,71,0,6.8
8,72,0,6.8
8,73,0,6.8
8,74,1,0.0
8,75,1,0.0
8,76,0,6.8
8,77,0,6.8
8,78,1,0.0
8,79,0,6.8
8,80,0,6.8
8,81,0,6.8
8,82,0,6.8
8,83,0,6.8
8,84,1,0.0
8,85,0,6.8
8,86,0,6.8
8,87,0,6.8
8,88,1,8.0
8,89,1,0.0
8,90,0,6.8
8,91,0,6.8
8,92,1,8.0
8,93,1,0.0
8,94,0,6.8
8,95,0,6.8
8,96,0,6.8
8,97,0,6.8
8,98,0,6.8
8,99,0,6.8
9,0,0,6.8
9,1,0,6.8
9,2,0,6.8
9,3,1,8.0
9,4,1,0.0
9,5,1,0.0
9,6,1,0.0
9,7,1,8.0
9,8,1,0.0
9,9,1,0.0
9,10,0,6.8
9,11,1,0.0
9,12,1,0.0
9,13,1,8.0
9,14,0,6.8
9,15,1,0.0
9,16,1,0.0
9,17,1,0.0
9,18,1,0.0
9,19,0,6.8
9,20,0,6.8
9,21,0,6.8
9,22,0,6.8
9,23,0,6.8
9,24,1,0.0
9,25,0,6.8
9,26,1,0.0
9,27,0,6.8
9,28,0,6.8
9,29,0,6.8
9,30,0,6.8
9,31,0,6.8
9,32,0,6.8
9,33,0,6.8
9,34,0,6.8
9,35,0,6.8
9,36,1,0.0
9,37,0,6.8
9,38,1,0.0
9,39,0,6.8
9,40,0,6.8
9,41,0,6.8
9,42,1,8.0
9,43,1,0.0
9,44,0,6.8
9,45,0,6.8
9,46,1,8.0
9,47,1,0.0
9,48,1,0.0
9,49,1,0.0
9,50,1,0.0
9,51,0,6.8
9,52,0,6.8
9,53,0,6.8
9,54,0,6.8
9,55,1,0.0
9,56,0,6.8
9,57,0,6.8
9,58,1,0.0
9,59,0,6.8
9,60,1,0.0
9,61,1,8.0
9,62,0,6.8
9,63,0,6.8
9,64,0,6.8
9,65,1,0.0
9,66,1,0.0
9,67,0,6.8
9,68,0,6.8
9,69,1,0.0
9,70,1,0.0
9,71,1,8.0
9,72,1,0.0
9,73,1,8.0
9,74,0,6.8
9,75,0,6.8
9,76,0,6.8
9,77,0,6.8
9,78,0,6.8
9,79,0,6.8
9,80,0,6.8
9,81,0,6.8
9,82,1,0.0
9,83,0,6.8
9,84,0,6.8
9,85,1,8.0
9,86,1,8.0
9,87,1,0.0
9,88,1,8.0
9,89,1,0.0
9,90,0,6.8
9,91,0,6.8
9,92,0,6.8
9,93,1,8.0
9,94,1,0.0
9,95,0,6.8
9,96,0,6.8
9,97,0,6.8
9,98,0,6.8
9,99,1,0.0
10,0,1,0.0
10,1,1,0.0
10,2,0,6.8
10,3,1,0.0
10,4,0,6.8
10,5,1,8.0
10,6,1,0.0
10,7,1,0.0
10,8,0,6.8
10,9,0,6.8
10,10,0,6.8
10,11,0,6.8
10,12,0,6.8
10,13,0,6.8
10,14,1,8.0
10,15,1,8.0
10,16,0,6.8
10,17,0,6.8
10,18,0,6.8
10,19,0,6.8
10,20,0,6.8
10,21,0,6.8
10,22,0,6.8
10,23,1,0.0
10,24,0,6.8
10,25,0,6.8
10,26,0,6.8
10,27,1,8.0
10,28,1,0.0
10,29,0,6.8
10,30,0,6.8
10,31,0,6.8
10,32,0,6.8
10,33,0,6.8
10,34,1,8.0
10,35,0,6.8
10,36,0,6.8
10,37,0,6.8
10,38,0,6.8
10,39,0,6.8
10,40,1,8.0
10,41,1,0.0
10,42,0,6.8
10,43,0,6.8
10,44,0,6.8
10,45,0,6.8
10,46,0,6.8
10,47,1,0.0
10,48,1,0.0
10,49,1,0.0
10,50,0,6.8
10,51,1,0.0
10,52,0,6.8
10,53,1,0.0
10,54,1,0.0
10,55,0,6.8
10,56,0,6.8
10,57,1,0.0
10,58,0,6.8
10,59,1,0.0
10,60,0,6.8
10,61,0,6.8
10,62,0,6.8
10,63,0,6.8
10,64,1,8.0
10,65,1,0.0
10,66,1,0.0
10,67,1,0.0
10,68,1,0.0
10,69,0,6.8
10,70,1,0.0
10,71,1,0.0
10,72,0,6.8
10,73,0,6.8
10,74,0,6.8
10,75,1,0.0
10,76,0,6.8
10,77,1,0.0
10,78,0,6.8
10,79,0,6.8
10,80,0,6.8
10,81,0,6.8
10,82,0,6.8
10,83,1,8.0
10,84,0,6.8
10,85,0,6.8
10,86,1,0.0
10,87,1,0.0
10,88,1,8.0
10,89,1,0.0
10,90,1,8.0
10,91,1,8.0
10,92,1,8.0
10,93,0,6.8
10,94,0,6.8
10,95,1,0.0
10,96,1,0.0
10,97,1,0.0
10,98,1,8.0
10,99,0,6.8
11,0,0,6.8
11,1,1,0.0
11,2,1,0.0
11,3,0,6.8
11,4,0,6.8
11,5,0,6.8
11,6,1,0.0
11,7,1,0.0
11,8,0,6.8
11,9,0,6.8
11,10,0,6.8
11,11,0,6.8
11,12,0,6.8
11,13,1,0.0
11,14,0,6.8
11,15,0,6.8
11,16,1,0.0
11,17,1,0.0
11,18,0,6.8
11,19,1,8.0
11,20,1,0.0
11,21,1,8.0
11,22,0,6.8
11,23,0,6.8
11,24,0,6.8
11,25,0,6.8
11,26,1,0.0
11,27,1,0.0
11,28,0,6.8
11,29,0,6.8
11,30,0,6.8
11,31,1,0.0
11,32,0,6.8
11,33,0,6.8
11,34,0,6.8
11,35,0,6.8
11,36,0,6.8
11,37,1,8.0
11,38,0,6.8
11,39,0,6.8
11,40,0,6.8
11,41,0,6.8
11,42,1,0.0
11,43,1,0.0
11,44,0,6.8
11,45,0,6.8
11,46,1,8.0
11,47,1,0.0
11,48,1,8.0
11,49,0,6.8
11,50,0,6.8
11,51,0,6.8
11,52,0,6.8
11,53,1,8.0
11,54,1,8.0
11,55,1,8.0
11,56,0,6.8
11,57,1,0.0
11,58,1,0.0
11,59,0,6.8
11,60,0,6.8
11,61,0,6.8
11,62,0,6.8
11,63,0,6.8
11,64,0,6.8
11,65,1,0.0
11,66,0,6.8
11,67,1,8.0
11,68,1,0.0
11,69,1,0.0
11,70,1,0.0
11,71,0,6.8
11,72,0,6.8
11,73,0,6.8
11,74,0,6.8
11,75,0,6.8
11,76,0,6.8
11,77,1,0.0
11,78,0,6.8
11,79,0,6.8
11,80,1,0.0
11,81,1,8.0
11,82,0,6.8
11,83,0,6.8
11,84,1,8.0
11,85,1,0.0
11,86,0,6.8
11,87,1,8.0
11,88,0,6.8
11,89,1,0.0
11,90,0,6.8
11,91,1,0.0
11,92,1,0.0
11,93,1,0.0
11,94,1,8.0
11,95,1,0.0
11,96,1,0.0
11,97,1,0.0
11,98,0,6.8
11,99,0,6.8
12,0,1,0.0
12,1,1,0.0
12,2,1,0.0
12,3,1,0.0
12,4,1,0.0
12,5,0,6.8
12,6,0,6.8
12,7,0,6.8
12,8,0,6.8
12,9,1,0.0
12,10,1,8.0
12,11,0,6.8
12,12,1,0.0
12,13,0,6.8
12,14,0,6.8
12,15,1,0.0
12,16,0,6.8
12,17,1,8.0
12,18,1,0.0
12,19,0,6.8
12,20,0,6.8
12,21,0,6.8
12,22,0,6.8
12,23,0,6.8
12,24,0,6.8
12,25,1,8.0
12,26,1,0.0
12,27,1,0.0
12,28,0,6.8
12,29,0,6.8
12,30,0,6.8
12,31,1,0.0
12,32,1,0.0
12,33,0,6.8
12,34,0,6.8
12,35,1,8.0
12,36,0,6.8
12,37,0,6.8
12,38,0,6.8
12,39,0,6.8
12,40,1,0.0
12,41,0,6.8
12,42,0,6.8
12,43,1,0.0
12,44,0,6.8
12,45,0,6.8
12,46,0,6.8
12,47,0,6.8
12,48,0,6.8
12,49,1,0.0
12,50,1,0.0
12,51,0,6.8
12,52,1,8.0
12,53,0,6.8
12,54,0,6.8
12,55,1,0.0
12,56,1,8.0
12,57,1,0.0
12,58,0,6.8
12,59,0,6.8
12,60,0,6.8
12,61,0,6.8
12,62,0,6.8
12,63,0,6.8
12,64,0,6.8
12,65,1,0.0
12,66,1,0.0
12,67,0,6.8
12,68,1,0.0
12,69,0,6.8
12,70,0,6.8
12,71,0,6.8
12,72,0,6.8
12,73,1,0.0
12,74,0,6.8
12,75,1,8.0
12,76,0,6.8
12,77,1,8.0
12,78,1,8.0
12,79,0,6.8
12,80,1,0.0
12,81,0,6.8
12,82,0,6.8
12,83,0,6.8
12,84,0,6.8
12,85,1,0.0
12,86,1,8.0
12,87,0,6.8
12,88,0,6.8
12,89,0,6.8
12,90,0,6.8
12,91,0,6.8
12,92,0,6.8
12,93,0,6.8
12,94,0,6.8
12,95,1,0.0
12,96,0,6.8
12,97,1,8.0
12,98,1,0.0
12,99,0,6.8
13,0,0,6.8
13,1,0,6.8
13,2,0,6.8
13,3,1,8.0
13,4,1,0.0
13,5,1,0.0
13,6,0,6.8
13,7,0,6.8
13,8,1,8.0
13,9,1,8.0
13,10,1,8.0
13,11,1,0.0
13,12,1,8.0
13,13,1,0.0
13,14,1,0.0
13,15,1,0.0
13,16,1,0.0
13,17,1,8.0
13,18,1,0.0
13,19,1,0.0
13,20,0,6.8
13,21,1,0.0
13,22,1,0.0
13,23,1,0.0
13,24,0,6.8
13,25,0,6.8
13,26,1,8.0
13,27,1,8.0
13,28,1,0.0
13,29,0,6.8
13,30,0,6.8
13,31,0,6.8
13,32,0,6.8
13,33,0,6.8
13,34,0,6.8
13,35,1,0.0
13,36,0,6.8
13,37,0,6.8
13,38,0,6.8
13,39,0,6.8
13,40,0,6.8
13,41,1,0.0
13,42,1,8.0
13,43,1,8.0
13,44,1,0.0
13,45,0,6.8
13,46,1,0.0
13,47,0,6.8
13,48,0,6.8
13,49,0,6.8
13,50,1,0.0
13,51,1,8.0
13,52,0,6.8
13,53,1,0.0
13,54,1,0.0
13,55,1,0.0
13,56,1,0.0
13,57,0,6.8
13,58,0,6.8
13,59,0,6.8
13,60,0,6.8
13,61,1,8.0
13,62,1,0.0
13,63,0,6.8
13,64,0,6.8
13,65,0,6.8
13,66,0,6.8
13,67,0,6.8
13,68,0,6.8
13,69,0,6.8
13,70,0,6.8
13,71,0,6.8
13,72,0,6.8
13,73,0,6.8
13,74,0,6.8
13,75,1,8.0
13,76,1,0.0
13,77,1,0.0
13,78,1,0.0
13,79,1,8.0
13,80,0,6.8
13,81,1,0.0
13,82,1,0.0
13,83,1,8.0
13,84,1,0.0
13,85,1,8.0
13,86,1,0.0
13,87,1,0.0
13,88,1,8.0
13,89,0,6.8
13,90,0,6.8
13,91,0,6.8
13,92,0,6.8
13,93,0,6.8
13,94,0,6.8
13,95,1,0.0
13,96,1,0.0
